,province,adcode,model,regYear,regMonth,popularity
12094,上海,310000,28e29f2c03dcd84c,2017,11,609
12095,上海,310000,28e29f2c03dcd84c,2017,12,924
12000,上海,310000,2a2ab41f8f6ff1cb,2016,1,1320
12001,上海,310000,2a2ab41f8f6ff1cb,2016,2,1535
12002,上海,310000,2a2ab41f8f6ff1cb,2016,3,1666
12003,上海,310000,2a2ab41f8f6ff1cb,2016,4,1928
12004,上海,310000,2a2ab41f8f6ff1cb,2016,5,1899
12005,上海,310000,2a2ab41f8f6ff1cb,2016,6,2014
12006,上海,310000,2a2ab41f8f6ff1cb,2016,7,1730
12007,上海,310000,2a2ab41f8f6ff1cb,2016,8,1785
12008,上海,310000,2a2ab41f8f6ff1cb,2016,9,3043
12009,上海,310000,2a2ab41f8f6ff1cb,2016,10,4017
12010,上海,310000,2a2ab41f8f6ff1cb,2016,11,3743
12011,上海,310000,2a2ab41f8f6ff1cb,2016,12,2563
12012,上海,310000,2a2ab41f8f6ff1cb,2017,1,2329
12013,上海,310000,2a2ab41f8f6ff1cb,2017,2,2709
12014,上海,310000,2a2ab41f8f6ff1cb,2017,3,2511
12015,上海,310000,2a2ab41f8f6ff1cb,2017,4,3317
12016,上海,310000,2a2ab41f8f6ff1cb,2017,5,3102
12017,上海,310000,2a2ab41f8f6ff1cb,2017,6,3527
12018,上海,310000,2a2ab41f8f6ff1cb,2017,7,1841
12019,上海,310000,2a2ab41f8f6ff1cb,2017,8,1399
12020,上海,310000,2a2ab41f8f6ff1cb,2017,9,1065
12021,上海,310000,2a2ab41f8f6ff1cb,2017,10,1142
12022,上海,310000,2a2ab41f8f6ff1cb,2017,11,1207
12023,上海,310000,2a2ab41f8f6ff1cb,2017,12,1310
12504,上海,310000,2d0d2c3403909fdb,2016,1,822
12505,上海,310000,2d0d2c3403909fdb,2016,2,1101
12506,上海,310000,2d0d2c3403909fdb,2016,3,1027
12507,上海,310000,2d0d2c3403909fdb,2016,4,794
12508,上海,310000,2d0d2c3403909fdb,2016,5,766
12509,上海,310000,2d0d2c3403909fdb,2016,6,695
12510,上海,310000,2d0d2c3403909fdb,2016,7,718
12511,上海,310000,2d0d2c3403909fdb,2016,8,670
12512,上海,310000,2d0d2c3403909fdb,2016,9,705
12513,上海,310000,2d0d2c3403909fdb,2016,10,867
12514,上海,310000,2d0d2c3403909fdb,2016,11,690
12515,上海,310000,2d0d2c3403909fdb,2016,12,732
12516,上海,310000,2d0d2c3403909fdb,2017,1,664
12517,上海,310000,2d0d2c3403909fdb,2017,2,969
12518,上海,310000,2d0d2c3403909fdb,2017,3,554
12519,上海,310000,2d0d2c3403909fdb,2017,4,472
12520,上海,310000,2d0d2c3403909fdb,2017,5,496
12521,上海,310000,2d0d2c3403909fdb,2017,6,481
12522,上海,310000,2d0d2c3403909fdb,2017,7,569
12523,上海,310000,2d0d2c3403909fdb,2017,8,669
12524,上海,310000,2d0d2c3403909fdb,2017,9,560
12525,上海,310000,2d0d2c3403909fdb,2017,10,530
12526,上海,310000,2d0d2c3403909fdb,2017,11,646
12527,上海,310000,2d0d2c3403909fdb,2017,12,552
27860,上海,310000,346393c2c6305fb1,2016,1,394
27836,上海,310000,346393c2c6305fb1,2016,2,333
27837,上海,310000,346393c2c6305fb1,2016,3,306
27838,上海,310000,346393c2c6305fb1,2016,4,237
27839,上海,310000,346393c2c6305fb1,2016,5,238
27840,上海,310000,346393c2c6305fb1,2016,6,197
27841,上海,310000,346393c2c6305fb1,2016,7,207
27842,上海,310000,346393c2c6305fb1,2016,8,213
27843,上海,310000,346393c2c6305fb1,2016,9,249
27844,上海,310000,346393c2c6305fb1,2016,10,206
27845,上海,310000,346393c2c6305fb1,2016,11,187
27846,上海,310000,346393c2c6305fb1,2016,12,218
27847,上海,310000,346393c2c6305fb1,2017,1,168
27848,上海,310000,346393c2c6305fb1,2017,2,190
27849,上海,310000,346393c2c6305fb1,2017,3,162
27850,上海,310000,346393c2c6305fb1,2017,4,190
27851,上海,310000,346393c2c6305fb1,2017,5,184
27852,上海,310000,346393c2c6305fb1,2017,6,174
27853,上海,310000,346393c2c6305fb1,2017,7,155
27854,上海,310000,346393c2c6305fb1,2017,8,188
27855,上海,310000,346393c2c6305fb1,2017,9,180
27857,上海,310000,346393c2c6305fb1,2017,10,134
27856,上海,310000,346393c2c6305fb1,2017,11,146
27859,上海,310000,346393c2c6305fb1,2017,12,159
27549,上海,310000,37aa9169b575ef79,2016,1,1342
27550,上海,310000,37aa9169b575ef79,2016,2,1394
27551,上海,310000,37aa9169b575ef79,2016,3,1369
27552,上海,310000,37aa9169b575ef79,2016,4,972
27558,上海,310000,37aa9169b575ef79,2016,5,856
27554,上海,310000,37aa9169b575ef79,2016,6,735
27555,上海,310000,37aa9169b575ef79,2016,7,884
27572,上海,310000,37aa9169b575ef79,2016,8,922
27556,上海,310000,37aa9169b575ef79,2016,9,1108
27557,上海,310000,37aa9169b575ef79,2016,10,1136
27559,上海,310000,37aa9169b575ef79,2016,11,855
27560,上海,310000,37aa9169b575ef79,2016,12,1107
27561,上海,310000,37aa9169b575ef79,2017,1,1085
27562,上海,310000,37aa9169b575ef79,2017,2,1245
27563,上海,310000,37aa9169b575ef79,2017,3,993
27564,上海,310000,37aa9169b575ef79,2017,4,1239
27565,上海,310000,37aa9169b575ef79,2017,5,846
27567,上海,310000,37aa9169b575ef79,2017,6,915
27566,上海,310000,37aa9169b575ef79,2017,7,716
27580,上海,310000,37aa9169b575ef79,2017,8,1014
27568,上海,310000,37aa9169b575ef79,2017,9,1095
27569,上海,310000,37aa9169b575ef79,2017,10,816
27570,上海,310000,37aa9169b575ef79,2017,11,707
27571,上海,310000,37aa9169b575ef79,2017,12,664
12360,上海,310000,3c974920a76ac9c1,2016,1,1479
12361,上海,310000,3c974920a76ac9c1,2016,2,2355
12362,上海,310000,3c974920a76ac9c1,2016,3,1794
12363,上海,310000,3c974920a76ac9c1,2016,4,1260
12364,上海,310000,3c974920a76ac9c1,2016,5,1148
12365,上海,310000,3c974920a76ac9c1,2016,6,1083
12366,上海,310000,3c974920a76ac9c1,2016,7,1171
12367,上海,310000,3c974920a76ac9c1,2016,8,1235
12368,上海,310000,3c974920a76ac9c1,2016,9,1417
12369,上海,310000,3c974920a76ac9c1,2016,10,1447
12370,上海,310000,3c974920a76ac9c1,2016,11,1165
12371,上海,310000,3c974920a76ac9c1,2016,12,1161
12372,上海,310000,3c974920a76ac9c1,2017,1,1072
12373,上海,310000,3c974920a76ac9c1,2017,2,1306
12374,上海,310000,3c974920a76ac9c1,2017,3,850
12375,上海,310000,3c974920a76ac9c1,2017,4,628
12376,上海,310000,3c974920a76ac9c1,2017,5,636
12377,上海,310000,3c974920a76ac9c1,2017,6,511
12378,上海,310000,3c974920a76ac9c1,2017,7,540
12379,上海,310000,3c974920a76ac9c1,2017,8,586
12380,上海,310000,3c974920a76ac9c1,2017,9,571
12381,上海,310000,3c974920a76ac9c1,2017,10,725
12382,上海,310000,3c974920a76ac9c1,2017,11,580
12383,上海,310000,3c974920a76ac9c1,2017,12,602
12048,上海,310000,3d7554f1f56dd664,2016,1,1519
12049,上海,310000,3d7554f1f56dd664,2016,2,1888
12050,上海,310000,3d7554f1f56dd664,2016,3,1785
12051,上海,310000,3d7554f1f56dd664,2016,4,1364
12052,上海,310000,3d7554f1f56dd664,2016,5,1332
12053,上海,310000,3d7554f1f56dd664,2016,6,1186
12054,上海,310000,3d7554f1f56dd664,2016,7,1253
12055,上海,310000,3d7554f1f56dd664,2016,8,1350
12056,上海,310000,3d7554f1f56dd664,2016,9,1542
12057,上海,310000,3d7554f1f56dd664,2016,10,1640
12058,上海,310000,3d7554f1f56dd664,2016,11,1318
12059,上海,310000,3d7554f1f56dd664,2016,12,1472
12060,上海,310000,3d7554f1f56dd664,2017,1,1227
12061,上海,310000,3d7554f1f56dd664,2017,2,1716
12062,上海,310000,3d7554f1f56dd664,2017,3,1167
12063,上海,310000,3d7554f1f56dd664,2017,4,1089
12064,上海,310000,3d7554f1f56dd664,2017,5,1080
12065,上海,310000,3d7554f1f56dd664,2017,6,1045
12066,上海,310000,3d7554f1f56dd664,2017,7,1179
12067,上海,310000,3d7554f1f56dd664,2017,8,1293
12068,上海,310000,3d7554f1f56dd664,2017,9,1276
12069,上海,310000,3d7554f1f56dd664,2017,10,1337
12070,上海,310000,3d7554f1f56dd664,2017,11,1323
12071,上海,310000,3d7554f1f56dd664,2017,12,1376
12336,上海,310000,3e21824be728cbec,2016,1,1443
12337,上海,310000,3e21824be728cbec,2016,2,1820
12338,上海,310000,3e21824be728cbec,2016,3,1586
12339,上海,310000,3e21824be728cbec,2016,4,1098
12340,上海,310000,3e21824be728cbec,2016,5,1314
12341,上海,310000,3e21824be728cbec,2016,6,1170
12342,上海,310000,3e21824be728cbec,2016,7,1290
12343,上海,310000,3e21824be728cbec,2016,8,1264
12344,上海,310000,3e21824be728cbec,2016,9,1322
12345,上海,310000,3e21824be728cbec,2016,10,1392
12346,上海,310000,3e21824be728cbec,2016,11,1167
12347,上海,310000,3e21824be728cbec,2016,12,1192
12348,上海,310000,3e21824be728cbec,2017,1,919
12349,上海,310000,3e21824be728cbec,2017,2,1196
12350,上海,310000,3e21824be728cbec,2017,3,737
12351,上海,310000,3e21824be728cbec,2017,4,718
12352,上海,310000,3e21824be728cbec,2017,5,774
12353,上海,310000,3e21824be728cbec,2017,6,636
12354,上海,310000,3e21824be728cbec,2017,7,750
12355,上海,310000,3e21824be728cbec,2017,8,827
12356,上海,310000,3e21824be728cbec,2017,9,846
12357,上海,310000,3e21824be728cbec,2017,10,762
12358,上海,310000,3e21824be728cbec,2017,11,631
12359,上海,310000,3e21824be728cbec,2017,12,712
27598,上海,310000,4a103c30d593fbbe,2016,1,2931
27599,上海,310000,4a103c30d593fbbe,2016,2,3604
27600,上海,310000,4a103c30d593fbbe,2016,3,3679
27602,上海,310000,4a103c30d593fbbe,2016,4,2686
27601,上海,310000,4a103c30d593fbbe,2016,5,2534
27604,上海,310000,4a103c30d593fbbe,2016,6,2300
27603,上海,310000,4a103c30d593fbbe,2016,7,2521
27605,上海,310000,4a103c30d593fbbe,2016,8,2707
27606,上海,310000,4a103c30d593fbbe,2016,9,2956
27619,上海,310000,4a103c30d593fbbe,2016,10,3138
27607,上海,310000,4a103c30d593fbbe,2016,11,2569
27608,上海,310000,4a103c30d593fbbe,2016,12,2776
27609,上海,310000,4a103c30d593fbbe,2017,1,2114
27672,上海,310000,4a103c30d593fbbe,2017,2,2749
27610,上海,310000,4a103c30d593fbbe,2017,3,2418
27611,上海,310000,4a103c30d593fbbe,2017,4,2373
27612,上海,310000,4a103c30d593fbbe,2017,5,1941
27671,上海,310000,4a103c30d593fbbe,2017,6,1813
27613,上海,310000,4a103c30d593fbbe,2017,7,1732
27614,上海,310000,4a103c30d593fbbe,2017,8,2125
27615,上海,310000,4a103c30d593fbbe,2017,9,2021
27616,上海,310000,4a103c30d593fbbe,2017,10,1788
27617,上海,310000,4a103c30d593fbbe,2017,11,1700
27618,上海,310000,4a103c30d593fbbe,2017,12,1642
28004,上海,310000,4f79773e600518a6,2016,1,1150
28005,上海,310000,4f79773e600518a6,2016,2,1340
28006,上海,310000,4f79773e600518a6,2016,3,1224
28007,上海,310000,4f79773e600518a6,2016,4,852
28008,上海,310000,4f79773e600518a6,2016,5,860
28009,上海,310000,4f79773e600518a6,2016,6,805
28049,上海,310000,4f79773e600518a6,2016,7,800
28011,上海,310000,4f79773e600518a6,2016,8,792
28012,上海,310000,4f79773e600518a6,2016,9,854
28013,上海,310000,4f79773e600518a6,2016,10,816
28014,上海,310000,4f79773e600518a6,2016,11,746
28015,上海,310000,4f79773e600518a6,2016,12,754
28016,上海,310000,4f79773e600518a6,2017,1,543
28017,上海,310000,4f79773e600518a6,2017,2,681
28073,上海,310000,4f79773e600518a6,2017,3,428
28019,上海,310000,4f79773e600518a6,2017,4,347
28018,上海,310000,4f79773e600518a6,2017,5,343
28020,上海,310000,4f79773e600518a6,2017,6,308
28077,上海,310000,4f79773e600518a6,2017,7,301
28021,上海,310000,4f79773e600518a6,2017,8,287
28022,上海,310000,4f79773e600518a6,2017,9,307
28027,上海,310000,4f79773e600518a6,2017,10,309
28023,上海,310000,4f79773e600518a6,2017,11,290
28024,上海,310000,4f79773e600518a6,2017,12,310
12384,上海,310000,54fc07138d70374c,2016,1,2270
12385,上海,310000,54fc07138d70374c,2016,2,2728
12386,上海,310000,54fc07138d70374c,2016,3,2974
12387,上海,310000,54fc07138d70374c,2016,4,1874
12388,上海,310000,54fc07138d70374c,2016,5,1817
12389,上海,310000,54fc07138d70374c,2016,6,1892
12390,上海,310000,54fc07138d70374c,2016,7,1856
12391,上海,310000,54fc07138d70374c,2016,8,1867
12392,上海,310000,54fc07138d70374c,2016,9,2096
12393,上海,310000,54fc07138d70374c,2016,10,2345
12394,上海,310000,54fc07138d70374c,2016,11,1928
12395,上海,310000,54fc07138d70374c,2016,12,2193
12396,上海,310000,54fc07138d70374c,2017,1,1821
12397,上海,310000,54fc07138d70374c,2017,2,2384
12398,上海,310000,54fc07138d70374c,2017,3,1717
12399,上海,310000,54fc07138d70374c,2017,4,1495
12400,上海,310000,54fc07138d70374c,2017,5,1325
12401,上海,310000,54fc07138d70374c,2017,6,1207
12402,上海,310000,54fc07138d70374c,2017,7,1181
12403,上海,310000,54fc07138d70374c,2017,8,1266
12404,上海,310000,54fc07138d70374c,2017,9,1456
12405,上海,310000,54fc07138d70374c,2017,10,1275
12406,上海,310000,54fc07138d70374c,2017,11,1208
12407,上海,310000,54fc07138d70374c,2017,12,1226
27955,上海,310000,5b1c11c3efed5312,2016,1,1061
27956,上海,310000,5b1c11c3efed5312,2016,2,2043
27959,上海,310000,5b1c11c3efed5312,2016,3,1528
27958,上海,310000,5b1c11c3efed5312,2016,4,914
27957,上海,310000,5b1c11c3efed5312,2016,5,813
27966,上海,310000,5b1c11c3efed5312,2016,6,824
27960,上海,310000,5b1c11c3efed5312,2016,7,736
27968,上海,310000,5b1c11c3efed5312,2016,8,628
27961,上海,310000,5b1c11c3efed5312,2016,9,685
27963,上海,310000,5b1c11c3efed5312,2016,10,725
27964,上海,310000,5b1c11c3efed5312,2016,11,567
27965,上海,310000,5b1c11c3efed5312,2016,12,709
28010,上海,310000,5b1c11c3efed5312,2017,1,544
27967,上海,310000,5b1c11c3efed5312,2017,2,644
27975,上海,310000,5b1c11c3efed5312,2017,3,391
27969,上海,310000,5b1c11c3efed5312,2017,4,482
27970,上海,310000,5b1c11c3efed5312,2017,5,322
27989,上海,310000,5b1c11c3efed5312,2017,6,347
27972,上海,310000,5b1c11c3efed5312,2017,7,210
27973,上海,310000,5b1c11c3efed5312,2017,8,350
27977,上海,310000,5b1c11c3efed5312,2017,9,362
27974,上海,310000,5b1c11c3efed5312,2017,10,275
27976,上海,310000,5b1c11c3efed5312,2017,11,286
27978,上海,310000,5b1c11c3efed5312,2017,12,257
28122,上海,310000,5d7fb682edd0f937,2016,1,1106
28123,上海,310000,5d7fb682edd0f937,2016,2,1271
28126,上海,310000,5d7fb682edd0f937,2016,3,1252
28124,上海,310000,5d7fb682edd0f937,2016,4,979
28125,上海,310000,5d7fb682edd0f937,2016,5,1001
28132,上海,310000,5d7fb682edd0f937,2016,6,906
28128,上海,310000,5d7fb682edd0f937,2016,7,996
28129,上海,310000,5d7fb682edd0f937,2016,8,1050
28131,上海,310000,5d7fb682edd0f937,2016,9,967
28133,上海,310000,5d7fb682edd0f937,2016,10,933
28138,上海,310000,5d7fb682edd0f937,2016,11,909
28134,上海,310000,5d7fb682edd0f937,2016,12,1017
28135,上海,310000,5d7fb682edd0f937,2017,1,955
28136,上海,310000,5d7fb682edd0f937,2017,2,1144
28146,上海,310000,5d7fb682edd0f937,2017,3,1140
28137,上海,310000,5d7fb682edd0f937,2017,4,1230
28139,上海,310000,5d7fb682edd0f937,2017,5,1017
28140,上海,310000,5d7fb682edd0f937,2017,6,1138
28141,上海,310000,5d7fb682edd0f937,2017,7,1591
28142,上海,310000,5d7fb682edd0f937,2017,8,1835
